Class,card,post_id,view_count,body,text
Animations/visuals/styles,Make an item stick to the bottom using flex in react-native,38887069,18809,Suppose this is the layout I want to make the view with the styles of footer to position at the bottom of the screen I tried giving the property to the footer but instead of positioning at the bottom it positions it to the right side of the screen How can I make the footer item stick to the end? Thank you ,Make an item stick to the bottom using flex in react-native Suppose this is the layout I want to make the view with the styles of footer to position at the bottom of the screen I tried giving the property to the footer but instead of positioning at the bottom it positions it to the right side of the screen How can I make the footer item stick to the end? Thank you 
Animations/visuals/styles,React Native Responsive Font Size,33628677,18787,I would like to ask how react native handle or do the responsive font For example in iphone 4s i Have fontSize 14 while in iphone 6 I have fontSize 18 ,React Native Responsive Font Size I would like to ask how react native handle or do the responsive font For example in iphone 4s i Have fontSize 14 while in iphone 6 I have fontSize 18 
UI elements/Views,"In React Native, how do I put a view on top of another view, with part of it lying outside the bounds of the view behind?",31101445,18760,I m trying to make a layout as per below with React Native How do I specify the position of B relative to A? With iOS Interface Builder and autoconstraints this can very explicitly be done and is a breeze It s not so obvious how one might achieve this with React Native ,"In React Native, how do I put a view on top of another view, with part of it lying outside the bounds of the view behind? I m trying to make a layout as per below with React Native How do I specify the position of B relative to A? With iOS Interface Builder and autoconstraints this can very explicitly be done and is a breeze It s not so obvious how one might achieve this with React Native "
Animations/visuals/styles,How to set the splash screen for react-native android,35041707,18647,How does one set a splash screen for react native android I can t find anything on the topic and I thought it was odd Thanks ,How to set the splash screen for react-native android How does one set a splash screen for react native android I can t find anything on the topic and I thought it was odd Thanks 
Animations/visuals/styles,How to stretch a static image as background in React Native?,30273624,18603,I d like to use a background image in my react native app the image is smaller than the screen so I have to stretch it but it doesn t work if the image is loaded from asset bundle it looks like this however it works fine for a remote image through ,How to stretch a static image as background in React Native? I d like to use a background image in my react native app the image is smaller than the screen so I have to stretch it but it doesn t work if the image is loaded from asset bundle it looks like this however it works fine for a remote image through 
FlatList/ListView/ScrollView,Overlay view on top of list view?,29452264,18575,I have an app with a full screen list view I d like to add a new view hierarchy on top it would partially block the list view and float above Sort of like Tweetbot it will serve as a drop down message box that layers over the list view I can t figure out the right render code to achieve this I was able to set position to absolute on both ListView and the floating view to layer them but can t figure out how to expand the ListView to full screen and have the floating box on top ,Overlay view on top of list view? I have an app with a full screen list view I d like to add a new view hierarchy on top it would partially block the list view and float above Sort of like Tweetbot it will serve as a drop down message box that layers over the list view I can t figure out the right render code to achieve this I was able to set position to absolute on both ListView and the floating view to layer them but can t figure out how to expand the ListView to full screen and have the floating box on top 
Components,How to create custom React Native components with child nodes,32265729,18505,I want to create a React Native component in pure JavaScript composed of other components such as and I have a couple of buttons in my app that are composed of that two components so I thought it would be nice to learn how to create my own components for better code reuse The finished component should look more or less like this And this is the code I made for the component so far However I don t know how I can use the inner child text in my component and I don t really get how I can make my component to accept custom props and the and props PS I know there are some React Native components like this out there but I prefer to create my own in order to learn how I can build this kind of custom components Also React Native is awesome but I cannot find how to build things like this in their docs and I think it s a really interesting exercise for people starting in React ,How to create custom React Native components with child nodes I want to create a React Native component in pure JavaScript composed of other components such as and I have a couple of buttons in my app that are composed of that two components so I thought it would be nice to learn how to create my own components for better code reuse The finished component should look more or less like this And this is the code I made for the component so far However I don t know how I can use the inner child text in my component and I don t really get how I can make my component to accept custom props and the and props PS I know there are some React Native components like this out there but I prefer to create my own in order to learn how I can build this kind of custom components Also React Native is awesome but I cannot find how to build things like this in their docs and I think it s a really interesting exercise for people starting in React 
Building/Development/IDE,How to enable live reload in react native on android?,36933287,18425,How can I enable live reload in the android emulator? The documentation for android wasn t very helpful for a android noob ,How to enable live reload in react native on android? How can I enable live reload in the android emulator? The documentation for android wasn t very helpful for a android noob 
Building/Development/IDE,Can React Native apps be tested in a browser?,35973914,18280,Realizing that React Native apps are designed to be developed tested using simulators is it possible to use a web browser to also test an application? Services such as https rnplay org exist however my concern is it s powered by https appetize io it might be limited by the of minutes per month I d also like to utilize free open source technology to accomplish this as compared to a paid screen streaming service Along these lines in order to test the app in a browser would the app be required to use one or more libraries which allow the app to be run in both React Native and also simply React? I d like to find an alternative to this particular approach as I d like to code for React Native specifically ,Can React Native apps be tested in a browser? Realizing that React Native apps are designed to be developed tested using simulators is it possible to use a web browser to also test an application? Services such as https rnplay org exist however my concern is it s powered by https appetize io it might be limited by the of minutes per month I d also like to utilize free open source technology to accomplish this as compared to a paid screen streaming service Along these lines in order to test the app in a browser would the app be required to use one or more libraries which allow the app to be run in both React Native and also simply React? I d like to find an alternative to this particular approach as I d like to code for React Native specifically 
Animations/visuals/styles,How to align text input correctly in react native?,29560065,18242,The Text input is center aligned how to fix this text input so that it takes input from top left corner Here is my css for text input ,How to align text input correctly in react native? The Text input is center aligned how to fix this text input so that it takes input from top left corner Here is my css for text input 
Animations/visuals/styles,How to have Ellipsis effect on Text,30594080,18175,I m having a long text in my app and I need to truncate it and add three dots to the end How can I do that in React Native Text element? Thanks ,How to have Ellipsis effect on Text I m having a long text in my app and I need to truncate it and add three dots to the end How can I do that in React Native Text element? Thanks 
Building/Development/IDE,Facebook Sdk Android Error Building,44190829,18125,I am trying to build my react native project and using react native fbsdk However I get these errors My current OS is Linux Elementary 0 4 1 Loki x64 I am using react native 0 37 0 and because of this react native fbsdk 0 4 0 I ve already tried delete the project and re it and try in Android API s 23 and 24 ,Facebook Sdk Android Error Building I am trying to build my react native project and using react native fbsdk However I get these errors My current OS is Linux Elementary 0 4 1 Loki x64 I am using react native 0 37 0 and because of this react native fbsdk 0 4 0 I ve already tried delete the project and re it and try in Android API s 23 and 24 
UI elements/Views,Flexbox float right,36601231,18107,I am looking for solutions on Flexbox layout best practice for a common use case In the example I want to use Flexbox to make the score number to be float to the right I thought of using But then the problem is that we can t use the center align with the outer box Another way I can think of is to make another flex box to wrap the image and name part then create an outer flex box to use This seems like a very common UI paradigm I wonder what the best practice is Thank you very much! ,Flexbox float right I am looking for solutions on Flexbox layout best practice for a common use case In the example I want to use Flexbox to make the score number to be float to the right I thought of using But then the problem is that we can t use the center align with the outer box Another way I can think of is to make another flex box to wrap the image and name part then create an outer flex box to use This seems like a very common UI paradigm I wonder what the best practice is Thank you very much! 
JS syntax / general programming,React Native: this.setState is not a function,38440925,18067,I see a number of questions on here relating to this same issue but it seems none match the issue I m having and are a bit more complex I am in the process of learning ReactJS and React Native I m in the midst of reading and following the code examples from Learning React Native book here https github com bonniee learning react native For some reason calling this setState in the code below when the handleTextChange function is called causes the this SetState is not a function error My question is why? Unlike other questions about this same issue I don t believe my call to this stateState is buried in a callback function or if statement Why is it undefined? Here is my code ,React Native: this.setState is not a function I see a number of questions on here relating to this same issue but it seems none match the issue I m having and are a bit more complex I am in the process of learning ReactJS and React Native I m in the midst of reading and following the code examples from Learning React Native book here https github com bonniee learning react native For some reason calling this setState in the code below when the handleTextChange function is called causes the this SetState is not a function error My question is why? Unlike other questions about this same issue I don t believe my call to this stateState is buried in a callback function or if statement Why is it undefined? Here is my code 
State,react-native this.setState() is not working,29465852,18031,I am unable to get react native s to work When I run the onUpdate method I can see the correct json object being returned The issue is when the setState function is called nothing happens and the method fails No more code is executed below it It also is not re rendering the component after the setState function Here is my component code below ,react-native this.setState() is not working I am unable to get react native s to work When I run the onUpdate method I can see the correct json object being returned The issue is when the setState function is called nothing happens and the method fails No more code is executed below it It also is not re rendering the component after the setState function Here is my component code below 
Components,"react native - expected a component class, got [object Object]",38038751,18010,I got expected a component class got object error when I try to use loginPage component which I created here is index ios js and here is the loginPage js ,"react native - expected a component class, got [object Object] I got expected a component class got object error when I try to use loginPage component which I created here is index ios js and here is the loginPage js "
Animations/visuals/styles,how to disable rotation in React Native?,32176548,17902,I would like to support only portrait view How can I make a React Native app not to autorotate? I tried searching documentation and Github issues but I didn t find anything helpful ,how to disable rotation in React Native? I would like to support only portrait view How can I make a React Native app not to autorotate? I tried searching documentation and Github issues but I didn t find anything helpful 
Animations/visuals/styles,Can't show Image in React Native,38114325,17839,I m using react native 0 28 0 I m trying to show an image on iPhone simulator according to this tutorial http www appcoda com react native introduction Then in the function I add this The space allocated for the image is there but the image is not shown ,Can't show Image in React Native I m using react native 0 28 0 I m trying to show an image on iPhone simulator according to this tutorial http www appcoda com react native introduction Then in the function I add this The space allocated for the image is there but the image is not shown 
Navigation,Cannot assign to read only property 'props' of #<Object> in react native,33900933,17812,Cannot assign to read only property props of I checked 1654 with no success Please have a look at the issue in more detail here Basically what I am doing is using a Navigator to move from index page to ApplistGridView page I see the navigation is successful from logs but even before I see the screen I face this issue And chrome debug messages Code is posted at Github Haven t found a solution What am I doing wrong? ,Cannot assign to read only property 'props' of #<Object> in react native Cannot assign to read only property props of I checked 1654 with no success Please have a look at the issue in more detail here Basically what I am doing is using a Navigator to move from index page to ApplistGridView page I see the navigation is successful from logs but even before I see the screen I face this issue And chrome debug messages Code is posted at Github Haven t found a solution What am I doing wrong? 
Building/Development/IDE,"React Native 'hello world' quick start: \could not connect to development server\""""",36163008,17698,I m trying to do the react native hello world and I m using usb debugging on my android I ran then I can view the js file in but get could not connect to development server message on my phone I followed the instructions to run then realized that command doesn t exist so I ran instead Still no luck Using react native 0 22 0 ubuntu 14 04 My phone is nexus 5 on android 6 0 1 How can I allow my phone to access my ? By the way it is working over wifi but I d like to get it working over usb ,"React Native 'hello world' quick start: \could not connect to development server\"""" I m trying to do the react native hello world and I m using usb debugging on my android I ran then I can view the js file in but get could not connect to development server message on my phone I followed the instructions to run then realized that command doesn t exist so I ran instead Still no luck Using react native 0 22 0 ubuntu 14 04 My phone is nexus 5 on android 6 0 1 How can I allow my phone to access my ? By the way it is working over wifi but I d like to get it working over usb "
Animations/visuals/styles,Display: Inline Equivalent in React Native,34142761,17604,It seems as though I am having problems with creating a display inline styling equivalent with flexbox So far I have achieved the following where the red and blue lines are governed by the border function to help with styling With this code But I would like to achieve this any ideas? EDIT ANSWER Needed to change the styling to the following So use of flexDirection in column and row for scrollView works children stay inline ,Display: Inline Equivalent in React Native It seems as though I am having problems with creating a display inline styling equivalent with flexbox So far I have achieved the following where the red and blue lines are governed by the border function to help with styling With this code But I would like to achieve this any ideas? EDIT ANSWER Needed to change the styling to the following So use of flexDirection in column and row for scrollView works children stay inline 
JS syntax / general programming,Can't find variable: React,38685849,17539,I just started learning react so I apologise in advance if this may sound like a stupid question I m trying to make a simple iOS page with a button that triggers an action I have followed the tutorial on how to get started and this is my index code The problem is that when I run it from Xcode on my device I get I tried to search online for the answer but couldn t find anything that actually help Any idea what might be the problem here? ,Can't find variable: React I just started learning react so I apologise in advance if this may sound like a stupid question I m trying to make a simple iOS page with a button that triggers an action I have followed the tutorial on how to get started and this is my index code The problem is that when I run it from Xcode on my device I get I tried to search online for the answer but couldn t find anything that actually help Any idea what might be the problem here? 
Network,How to use FormData in react-native?,32441963,17473,Hi just learn to use js and react native I cant use FormData it always shows unsupported bodyinit type i want to send text rather then json stringfy Can anyone help me? Thanks! ,How to use FormData in react-native? Hi just learn to use js and react native I cant use FormData it always shows unsupported bodyinit type i want to send text rather then json stringfy Can anyone help me? Thanks! 
Building/Development/IDE,Can I build 3D or 2D interactive games using React Native?,32653868,17352,React runs a JS V8 engine to build the UI in Native It can obviously hook into the OpenGL native library but can we actually build performant Games using React Native? ,Can I build 3D or 2D interactive games using React Native? React runs a JS V8 engine to build the UI in Native It can obviously hook into the OpenGL native library but can we actually build performant Games using React Native? 
State,What will happen if I use setState() function in constructor of a Class in ReactJS or React Native?,34961853,17312,Out of curiosity I just wanna know what will happen if I use function in constructor of a Class in React Native or ReactJS? Such as what s the lifecycle of React gonna happen? I haven t read the code inside React I am afraid it will some any damage when I write it that way ,What will happen if I use setState() function in constructor of a Class in ReactJS or React Native? Out of curiosity I just wanna know what will happen if I use function in constructor of a Class in React Native or ReactJS? Such as what s the lifecycle of React gonna happen? I haven t read the code inside React I am afraid it will some any damage when I write it that way 
Navigation,How to hide React Native NavigationBar,30202705,17299,I have NavigatorIOS under Navigator and would like to hide Navigator s NavigationBar to use NavigatorIOS s bar Is there any way to do this? This is screenshot that I ve seen I need backend of NavigatorIOS The structure that I want to build is the following The code that I have is the below Basically obtained from UIExplore examples Navigator NavigatorIOS UPDATE with my solution I added a function to change state that handle rendering of Navigator and pass the prop to the component to change the state and ,How to hide React Native NavigationBar I have NavigatorIOS under Navigator and would like to hide Navigator s NavigationBar to use NavigatorIOS s bar Is there any way to do this? This is screenshot that I ve seen I need backend of NavigatorIOS The structure that I want to build is the following The code that I have is the below Basically obtained from UIExplore examples Navigator NavigatorIOS UPDATE with my solution I added a function to change state that handle rendering of Navigator and pass the prop to the component to change the state and 
UI elements/Views,How to use React native select box,30137100,17255,I was working on an IosApp using React Native I need a form element like select box in HTML Is there any ways to achieve the same in React Native Form components? ,How to use React native select box I was working on an IosApp using React Native I need a form element like select box in HTML Is there any ways to achieve the same in React Native Form components? 
Navigation,Full working example of react-native-side-menu with routes or navigation,36771186,17235,I found few posts that give some hints on how to integrate navigation routes with react native side menu unfortunately didn t find any post that show full working example of such functionality I m also not sure what is the simplest implementation for navigation routes and what s the difference between these 2 options of course this is not specifically to side menu but in my case should join together Can any one point to such example ? ,Full working example of react-native-side-menu with routes or navigation I found few posts that give some hints on how to integrate navigation routes with react native side menu unfortunately didn t find any post that show full working example of such functionality I m also not sure what is the simplest implementation for navigation routes and what s the difference between these 2 options of course this is not specifically to side menu but in my case should join together Can any one point to such example ? 
JS syntax / general programming,Loop in react-native,34648738,17142,I want to make a list of fields depending on the number of the player that user has selected I wanted to make something like this But react native regarded the syntax above as unexpected token pointing at the for loop line Is there any other way I can achieve doing this? ,Loop in react-native I want to make a list of fields depending on the number of the player that user has selected I wanted to make something like this But react native regarded the syntax above as unexpected token pointing at the for loop line Is there any other way I can achieve doing this? 
Navigation,Change view in Navigator in React Native,30905769,17089,I m new to react native I was using NavigatorIOS but it was too limiting so I m trying to use Navigator In NavigatorIOS I can change a view by calling but it doesn t work in Navigator it seems to be structured differently How do I change views in using Navigator? ,Change view in Navigator in React Native I m new to react native I was using NavigatorIOS but it was too limiting so I m trying to use Navigator In NavigatorIOS I can change a view by calling but it doesn t work in Navigator it seems to be structured differently How do I change views in using Navigator? 
Building/Development/IDE,Install .ipa file without iTunes?,42243120,16951,Is it Possible Install ipa to iphone iTunes ? Any 3rd party sites like iTunes? Ex https tryouts io https appetize io ,Install .ipa file without iTunes? Is it Possible Install ipa to iphone iTunes ? Any 3rd party sites like iTunes? Ex https tryouts io https appetize io 
Navigation,"Proper way to navigate with React Native, Redux, and Navigator",33056858,16910,I have a React Native app using the Redux framework and I m using the Navigator component to handle navigation I ve had a little bit of trouble getting the navigation working and I m not able to find any good examples of how to do it correctly so I m looking for some help and clarification Here s the gist of what I currently have which is working but I don t know if I m doing it right Root Component Signin Component Questions 1 My first thought here is that I should probably move the code into an action However is the right place to call the action? When the component is loaded it fires an action to sign in the user if they already have an active session By default they are not signed in so when the next props come through I check if it changed and then push to 2 In my console log immediately after PUSH TO MAIN is logged I see two RENDER SCENE logs I m curious as to why RENDER SCENE is called twice the first one being the component if I m only pushing the component Also originally in the method I was only checking but this caused the component to be pushed twice ,"Proper way to navigate with React Native, Redux, and Navigator I have a React Native app using the Redux framework and I m using the Navigator component to handle navigation I ve had a little bit of trouble getting the navigation working and I m not able to find any good examples of how to do it correctly so I m looking for some help and clarification Here s the gist of what I currently have which is working but I don t know if I m doing it right Root Component Signin Component Questions 1 My first thought here is that I should probably move the code into an action However is the right place to call the action? When the component is loaded it fires an action to sign in the user if they already have an active session By default they are not signed in so when the next props come through I check if it changed and then push to 2 In my console log immediately after PUSH TO MAIN is logged I see two RENDER SCENE logs I m curious as to why RENDER SCENE is called twice the first one being the component if I m only pushing the component Also originally in the method I was only checking but this caused the component to be pushed twice "
FlatList/ListView/ScrollView,React Native Listview leaving space,29496054,16825,I m trying to implement a listview in React Native Everything was fine when I was just calling the component but since I put it into a NavigatorIOS the Listview is leaving some space before the first item see here and when I scroll here Here is my code index ios js accounts js Does anyone has any idea of what s going on ? Thanks ,React Native Listview leaving space I m trying to implement a listview in React Native Everything was fine when I was just calling the component but since I put it into a NavigatorIOS the Listview is leaving some space before the first item see here and when I scroll here Here is my code index ios js accounts js Does anyone has any idea of what s going on ? Thanks 
Building/Development/IDE,How do you hide the warnings in React Native iOS simulator?,35309385,16708,I just upgraded my React Native and now the iOS simulator has a bunch of warnings Besides fixing them how do I hide these warnings so that I can see what s underneath? ,How do you hide the warnings in React Native iOS simulator? I just upgraded my React Native and now the iOS simulator has a bunch of warnings Besides fixing them how do I hide these warnings so that I can see what s underneath? 
Navigation,React-Navigation with Login Screen,42876690,16678,I am trying to use react navigation to create a initial LOGIN screen which has no tabbar and header and once the user has been successfully authenticated will navigate to another screen called LISTRECORD which has a tabbar header and no back button option Anyone has experience in this and can share? In summary what i m trying to achieve with react navigation is described below Screen 1 Login Screen No Header amp Tabbar Authenticated Screen 2 LISTRECORD Header Tabbar and No Back Button The tabbar contains other tabs too for navigation to Screen 3 Screen 4 ,React-Navigation with Login Screen I am trying to use react navigation to create a initial LOGIN screen which has no tabbar and header and once the user has been successfully authenticated will navigate to another screen called LISTRECORD which has a tabbar header and no back button option Anyone has experience in this and can share? In summary what i m trying to achieve with react navigation is described below Screen 1 Login Screen No Header amp Tabbar Authenticated Screen 2 LISTRECORD Header Tabbar and No Back Button The tabbar contains other tabs too for navigation to Screen 3 Screen 4 
Building/Development/IDE,How to use offline bundle on android for react native project?,34175416,16649,How to use offline bundle on android? I didn t see the document about use offline bundle on android I tried to uncomment the code in build gradle but it didn t work It still fetch the JS bundle from the server Is there something I missed? ,How to use offline bundle on android for react native project? How to use offline bundle on android? I didn t see the document about use offline bundle on android I tried to uncomment the code in build gradle but it didn t work It still fetch the JS bundle from the server Is there something I missed? 
JS syntax / general programming,Render Content Dynamically from an array map function in React Native,37446029,16450,I m trying to get data from an array and using map function to render content Look at and the associated function to understand what I m trying to do The result is nothing is displaying Views under view etc Here is my simplified code ,Render Content Dynamically from an array map function in React Native I m trying to get data from an array and using map function to render content Look at and the associated function to understand what I m trying to do The result is nothing is displaying Views under view etc Here is my simplified code 
VCS/NPM,How to require underscore in react-native,32204313,16404,The change log of react native mentions https facebook github io react blog 2015 04 17 react native v0 4 html NPM modules compatibility There are a lot of libraries on NPM that do not depend on node browser internals that would be really useful in React Native such as superagent underscore But It doesn t work for me It is how I install through package json And I indeed see it in the npm dependecy And it does work for some other react components It is how I require But it doesn t work is undefined Thanks for any advice ,How to require underscore in react-native The change log of react native mentions https facebook github io react blog 2015 04 17 react native v0 4 html NPM modules compatibility There are a lot of libraries on NPM that do not depend on node browser internals that would be really useful in React Native such as superagent underscore But It doesn t work for me It is how I install through package json And I indeed see it in the npm dependecy And it does work for some other react components It is how I require But it doesn t work is undefined Thanks for any advice 
Network,Is it possible to combine React Native with socket.io,29408492,16355,I was working on an app with Phonegap React js and Socket io However then React Native got released and the native feel is amazing I tried getting socket io client working with React Native but unfortunately without much success I did some research and I m getting the exact same errors as described in this issue https github com facebook react native issues 375 The comments on the issue said to try and use the fetch API to fetch JS modules but I think I m doing this wrong This returns an undefined is not a function Is there any way to make socket io client work with React Native? Or am I looking at this the wrong way? Perhaps there are other better suited solutions? ,Is it possible to combine React Native with socket.io I was working on an app with Phonegap React js and Socket io However then React Native got released and the native feel is amazing I tried getting socket io client working with React Native but unfortunately without much success I did some research and I m getting the exact same errors as described in this issue https github com facebook react native issues 375 The comments on the issue said to try and use the fetch API to fetch JS modules but I think I m doing this wrong This returns an undefined is not a function Is there any way to make socket io client work with React Native? Or am I looking at this the wrong way? Perhaps there are other better suited solutions? 
VCS/NPM,Package signatures do not match the previously installed version,41709102,16338,This my project https github com kenpeter my_hak_news which is a direct copy of https github com grigio HAgnostic News Git clone https github com kenpeter my_hak_news then run Got this error Relevant issue https github com grigio HAgnostic News issues 1 I follow various ways but not able to resolve this issue ,Package signatures do not match the previously installed version This my project https github com kenpeter my_hak_news which is a direct copy of https github com grigio HAgnostic News Git clone https github com kenpeter my_hak_news then run Got this error Relevant issue https github com grigio HAgnostic News issues 1 I follow various ways but not able to resolve this issue 
Building/Development/IDE,react-native :app:installDebug FAILED,37500205,16338,Install APK debug to my device failed Could not install the app on the device read the error above for details Make sure you have an Android emulator running or a device connected and have set up your Android development environment https facebook github io react native docs android setup html I look at my devices ,react-native :app:installDebug FAILED Install APK debug to my device failed Could not install the app on the device read the error above for details Make sure you have an Android emulator running or a device connected and have set up your Android development environment https facebook github io react native docs android setup html I look at my devices 
Network,"React-Native fetch, Network request failed. not using localhost",38077273,16278,I have an app which im using fetch to authenticate user it was working till few days ago and i haven t change anything just upgraded from react 0 27 to 0 28 not fetch is not working i have searched for almost 2 days and i have read almost all questions in stackoverflow most of users trying to fetch something from localhost and when they change it to actual ip address they get it to work but im not fetching anything from localhost also mine code used to be working here is my code i tried to make some new projects simple just used a simple fetch example fro tutorials it gave same error i tried to open my website which im trying to connect to it through browser in emulator it works but it seems through my app cannot connect to any website ip it gives this error in chrome console actually i have the same problem as this user here React native network request always fails UPDATE info plist from xcode any help will be appreciated! ,"React-Native fetch, Network request failed. not using localhost I have an app which im using fetch to authenticate user it was working till few days ago and i haven t change anything just upgraded from react 0 27 to 0 28 not fetch is not working i have searched for almost 2 days and i have read almost all questions in stackoverflow most of users trying to fetch something from localhost and when they change it to actual ip address they get it to work but im not fetching anything from localhost also mine code used to be working here is my code i tried to make some new projects simple just used a simple fetch example fro tutorials it gave same error i tried to open my website which im trying to connect to it through browser in emulator it works but it seems through my app cannot connect to any website ip it gives this error in chrome console actually i have the same problem as this user here React native network request always fails UPDATE info plist from xcode any help will be appreciated! "
Animations/visuals/styles,How can I make text vertical (rotated 90 deg) in react native?,35050774,16267,How can I make vertical rotated 90 deg in react native? I want to have some text on the right side of the page along the edge of the screen ,How can I make text vertical (rotated 90 deg) in react native? How can I make vertical rotated 90 deg in react native? I want to have some text on the right side of the page along the edge of the screen 
Building/Development/IDE,React Native does not support development on Windows (yet)?,32619846,16256,I believe masses of people are very excited about React Native now finally supporting Android too BUT there will be a huge disappointment that it does not support developing on Windows machines which in many cases will prevent the uptake of React Native in bigger companies which can t just change their main OS I digged a bit and it seems not to hard to get it running on Windows anyway Change from spawn to in like this This change enables me to run without any visible errors It starts the emulator and the app The only last missing piece to get it running on Windows is Why does the development server not work or why can t the app connect to it? I get Unable to download JS Bundle red screen of death It seems that failed to start it even though it prints See the complete output at the bottom Anybody out there who can help to fix that? Thank you UPDATE Here are some more details of what I tried to get the development server running after I got working I tried that but npm start fails with Then I tried which failed like this Then I tried which actually works somehow like this But then I press in the red screen of death and after about 30seconds or so it fails again and the development server console prints that and then exits the development server I think we are soooo close to get it running on Windows I only need a bit of help with the last pieces here Please help ,React Native does not support development on Windows (yet)? I believe masses of people are very excited about React Native now finally supporting Android too BUT there will be a huge disappointment that it does not support developing on Windows machines which in many cases will prevent the uptake of React Native in bigger companies which can t just change their main OS I digged a bit and it seems not to hard to get it running on Windows anyway Change from spawn to in like this This change enables me to run without any visible errors It starts the emulator and the app The only last missing piece to get it running on Windows is Why does the development server not work or why can t the app connect to it? I get Unable to download JS Bundle red screen of death It seems that failed to start it even though it prints See the complete output at the bottom Anybody out there who can help to fix that? Thank you UPDATE Here are some more details of what I tried to get the development server running after I got working I tried that but npm start fails with Then I tried which failed like this Then I tried which actually works somehow like this But then I press in the red screen of death and after about 30seconds or so it fails again and the development server console prints that and then exits the development server I think we are soooo close to get it running on Windows I only need a bit of help with the last pieces here Please help 
Filesystems / Database,Does react native support base64 encoded images?,29380265,16242,Does react native support base 64 encoded images? I tried but it didn t work Am I just doing is wrong or is it not supported? ,Does react native support base64 encoded images? Does react native support base 64 encoded images? I tried but it didn t work Am I just doing is wrong or is it not supported? 
JS syntax / general programming,How to validate TextInput values in react native?,36147276,16108,for example While entering an email in the TextInput it should validate and display the error message where the entered email is valid or not ,How to validate TextInput values in react native? for example While entering an email in the TextInput it should validate and display the error message where the entered email is valid or not 
Debugging,How can I view network requests (for debugging) in React Native?,33997443,15969,I d like to view my network requests in React Native to help me debug ideally in the Network tab of Chrome s devtools There are some closed issues about this on GitHub https github com facebook react native issues 4122 and https github com facebook react native issues 934 but I don t entirely understand them It sounds like I need to undo some of React Native s polyfills and then run some commands with extra debugging flags and maybe modify some Chrome security settings? And apparently there are some security issues involved in doing this that might make it a terrible idea but nobody involved in the thread has explicitly stated what they are Could somebody provide a step by step guide to getting the Network tab working with React Native as well as an explanation of the security issues involved in doing so? ,How can I view network requests (for debugging) in React Native? I d like to view my network requests in React Native to help me debug ideally in the Network tab of Chrome s devtools There are some closed issues about this on GitHub https github com facebook react native issues 4122 and https github com facebook react native issues 934 but I don t entirely understand them It sounds like I need to undo some of React Native s polyfills and then run some commands with extra debugging flags and maybe modify some Chrome security settings? And apparently there are some security issues involved in doing this that might make it a terrible idea but nobody involved in the thread has explicitly stated what they are Could somebody provide a step by step guide to getting the Network tab working with React Native as well as an explanation of the security issues involved in doing so? 
Building/Development/IDE,Requiring Modules in react-native,33143147,15871,I m stuck on a problem in a react native project I m trying to do a general require file where I export all my modules After that I would like to require only my require js file to avoid calls like this require ModuleName in every file I have 4 files require js in index ios js he modules Home and MyView are getting importet correctly Home js the module MyView is not getting importet In the Home js the MyView variable is undefined If I want to require a module in a Module that gets already imported in another file the variable is undefined Do you guys have any clue why I can do this or is there a better solution for my problem? Thanks for any clue ,Requiring Modules in react-native I m stuck on a problem in a react native project I m trying to do a general require file where I export all my modules After that I would like to require only my require js file to avoid calls like this require ModuleName in every file I have 4 files require js in index ios js he modules Home and MyView are getting importet correctly Home js the module MyView is not getting importet In the Home js the MyView variable is undefined If I want to require a module in a Module that gets already imported in another file the variable is undefined Do you guys have any clue why I can do this or is there a better solution for my problem? Thanks for any clue 
Navigation,React native button click move to another screen,35331737,15815,I m new to react native I need simple scenario in here by click button go to new screen React native button click move to another screen I tried this ,React native button click move to another screen I m new to react native I need simple scenario in here by click button go to new screen React native button click move to another screen I tried this 
UI elements/Views,How to model a button with icons in react-native,30448547,15692,I m using react native icons package to include icons with buttons They have a sample code listed in example folder I m trying to achieve on View but turns out react native doesn t have function for component I tried using but it can only have single child element in it not two like and inside I also tried using with and inside but can only have elements inside Has anyone have any luck achieving similar functionality ? ,How to model a button with icons in react-native I m using react native icons package to include icons with buttons They have a sample code listed in example folder I m trying to achieve on View but turns out react native doesn t have function for component I tried using but it can only have single child element in it not two like and inside I also tried using with and inside but can only have elements inside Has anyone have any luck achieving similar functionality ? 
